appid,review_score_desc,total_positive,total_negative
32900,Mostly Positive,281,90
33100,Overwhelmingly Positive,4457,216
33110,Mixed,552,308
33120,Very Positive,3251,289
33130,Very Positive,1100,233
33180,Mostly Positive,695,193
33220,Mostly Positive,3657,1405
33230,Very Positive,53792,6344
33320,Mostly Positive,2080,863
33390,Positive,35,7
33460,Mixed,1982,978
33520,Very Positive,853,120
33540,Mixed,71,47
33550,Mixed,71,47
33570,Very Positive,821,180
33580,Mostly Positive,137,46
33600,Very Positive,1424,147
33610,Mixed,499,386
33620,Very Positive,556,98
33650,Very Positive,362,43
33660,Mixed,24,12
33670,Mixed,277,260
33680,Very Positive,1222,117
33700,6 user reviews,2,4
33710,Positive,10,1
33720,Positive,16,1
33730,Mostly Positive,171,68
33750,Mostly Negative,8,31
33760,Mostly Negative,4,11
33770,Very Positive,330,76
33790,Mixed,17,15
33900,Very Positive,1763,347
33930,Very Positive,20540,1681
33950,Mostly Positive,237,66
33980,Mixed,108,72
33990,Mixed,98,113
34010,Very Positive,4129,942
34030,Very Positive,24876,2282
34190,Very Positive,3016,444
34410,Very Positive,462,82
34420,Mixed,106,85
34500,Mostly Positive,36,10
34600,Mostly Positive,479,197
34630,Positive,33,2
34640,Positive,43,5
34800,Mixed,107,50
34810,Very Positive,175,38
34820,Very Positive,594,145
34830,Mixed,5084,3616
34870,Mostly Positive,14104,4508
34900,Mostly Positive,11718,3113
34920,Mostly Negative,61,175
35000,Very Positive,4260,489
35030,Mostly Positive,145,37
35070,Mixed,94,83
35130,Very Positive,4337,406
35140,Overwhelmingly Positive,81391,3100
35300,Very Positive,212,34
35310,Mostly Positive,185,69
35320,Very Positive,542,107
35450,Very Positive,35221,2821
35460,Mostly Positive,853,295
35480,Mostly Positive,836,241
35600,Mixed,49,46
35700,Overwhelmingly Positive,15160,699
35720,Overwhelmingly Positive,20939,1040
35800,Very Positive,179,27
36000,Mixed,198,119
36130,Mostly Positive,7,3
36150,Positive,23,1
36900,3 user reviews,0,3
36910,Mostly Negative,3,10
37000,Very Positive,953,230
37210,Mostly Positive,218,83
37220,Mostly Positive,108,32
37230,Mixed,23,11
37240,Mostly Negative,143,228
37260,Very Positive,141,8
37280,Mostly Positive,75,30
37290,Positive,15,2
37300,Mixed,15,12
37310,Mixed,10,12
37320,Mixed,5,5
37330,6 user reviews,4,2
37340,Mostly Positive,15,5
37360,Mixed,8,5
37370,8 user reviews,5,3
37380,Mixed,8,6
37390,Very Positive,56,1
37400,Very Positive,558,138
37500,Positive,36,8
37600,Very Positive,1037,96
37800,Mixed,30,16
37960,Very Positive,53,8
38000,Very Positive,57,4
38070,Positive,16,1
38080,Very Positive,69,7
38090,Positive,30,0
38100,Positive,21,3
38110,Mostly Positive,23,8
38120,Very Positive,230,6
38130,Very Positive,222,11
38140,Positive,42,3
38150,Very Positive,77,8
38160,Positive,19,0
38170,Very Positive,59,7
38180,Positive,11,2
38190,Mixed,10,5
38210,Mostly Positive,268,69
38230,Mixed,142,167
38400,Very Positive,23337,1435
38410,Very Positive,16157,1042
38420,Mostly Positive,2261,617
38430,Very Positive,390,94
38440,Very Positive,637,54
38450,Mostly Positive,285,76
38460,Very Positive,191,46
38480,Mixed,87,88
38490,Mostly Positive,78,33
38600,Very Positive,2291,234
38700,Very Positive,1869,259
38720,Very Positive,1137,129
38740,Very Positive,2067,181
39000,Very Positive,11654,1217
39110,Very Positive,261,62
39120,Mostly Positive,8589,3003
39150,Very Positive,8315,1110
39160,Mixed,1696,1252
39190,Very Positive,3441,761
39200,Mostly Positive,2200,665
39210,Very Positive,73290,11409
39391,No user reviews,0,0
39392,No user reviews,0,0
39500,Very Positive,9928,2233
39510,Very Positive,16265,1069
39520,Mostly Positive,440,155
39530,Very Positive,2053,253
39540,Very Positive,2530,342
39550,Mostly Positive,1009,333
39560,Mostly Negative,158,477
39630,Mostly Positive,280,113
39640,Mostly Positive,209,66
39650,Mostly Positive,598,241
39660,Mostly Positive,191,75
39670,Mostly Positive,959,407
39680,Very Positive,3368,690
39690,Mixed,1777,1438
39800,Very Positive,2463,319
39900,Mixed,15,17
40100,Very Positive,11341,1519
40200,Mostly Positive,11,3
40210,Positive,12,2
40300,Very Positive,9427,1185
40320,Very Positive,162,27
40330,Very Positive,419,75
40340,Very Positive,192,34
40350,Very Positive,500,50
40380,Very Positive,1073,259
40390,Mostly Positive,5345,1356
40400,Very Positive,1324,287
40420,Mixed,152,87
40500,Mostly Negative,16,49
40700,Overwhelmingly Positive,19145,943
40720,Very Positive,2487,369
40800,Very Positive,36195,2204
40930,Very Positive,405,57
40950,Overwhelmingly Positive,9868,459
40960,Very Positive,5019,631
40970,Overwhelmingly Positive,20390,513
40980,Very Positive,2335,332
40990,Very Positive,14119,2016
41000,Very Positive,8196,606
41014,Very Positive,849,82
41050,Overwhelmingly Positive,3230,144
41060,Overwhelmingly Positive,1920,80
41070,Very Positive,25089,3355
41100,Mostly Positive,1504,557
41300,Very Positive,1774,161
41400,Mostly Negative,8,23
41500,Very Positive,6614,679
41600,Mixed,60,71
41660,Mixed,12,8
41680,Mostly Negative,3,10
41730,Mixed,123,57
41740,Very Positive,361,87
41800,Mostly Positive,619,261
41900,Mostly Positive,1076,356
42000,Mixed,8,6
42120,Mostly Positive,1576,625
42140,Mostly Positive,249,105
42147,1 user reviews,1,0
42170,Mixed,519,416
42200,Very Positive,95,19
42210,Mostly Positive,256,73
42220,Very Positive,204,25
42230,Mostly Positive,114,48
42500,Mixed,265,169
42670,Very Positive,5458,413
42700,Very Positive,38745,3841
42810,Mostly Positive,131,40
